Title,Description,Categories
Putin Embraced Turmoil. Now It Is Rattling His Leadership.,"For more than two decades, the system helped President Vladimir V. Putin secure his unrivaled authority, ensuring that he personally held the keys to wealth and influence in modern Russia.","Russia, Prigozhin, Yevgeny V, Putin, Vladimir V, Wagner Group, Politics and Government, Mercenaries and Private Military Contractors, Russian Invasion of Ukraine (2022), Defense and Military Forces"
Crisis in Russia,"A Russian mercenary leader claimed he controls a military headquarters in southern Russia, and Vladimir Putin vowed to take action.","internal-storyline-no, Defense and Military Forces, Mercenaries and Private Military Contractors, Russian Invasion of Ukraine (2022), Coups D'Etat and Attempted Coups D'Etat, Wagner Group, Prigozhin, Yevgeny V, Putin, Vladimir V, Shoigu, Sergei K, Russia, Ukraine"
Killing of Sikh Leader Raises Fears in British Columbia,"Members of the Sikh community in Surrey believe that Hardeep Singh Nijjar, the president of a local temple, was killed because of his political views.","Sikhs and Sikhism, Politics and Government, International Relations, Murders, Attempted Murders and Homicides, Secession and Independence Movements, British Columbia (Canada), Canada, Punjab (India)"
Watch Rare Burmese Peacock Turtles Hatching,Local conservationists at Indawgyi Lake captured the first known videos of rare Burmese peacock turtles hatching.,"Global Warming, Greenhouse Gas Emissions"
Sierra Leone’s Election: What to Know and Latest News,"In Saturday’s vote, President Julius Maada Bio is seeking a second five-year term to pursue an ambitious if unfulfilled education initiative, while the country is facing a crippling economic crisis.","Sierra Leone, Elections, Politics and Government, Economic Conditions and Trends, Inflation (Economics), Education, Bio, Julius Maada, Kamara, Samura"
What’s Happening in Russia? What We Know About Wagner’s Military Revolt,"A powerful mercenary chief sent his forces on the move against the Russian military establishment, raising tensions in the country to a level not seen in decades.","Defense and Military Forces, Mercenaries and Private Military Contractors, Russian Invasion of Ukraine (2022), Coups D'Etat and Attempted Coups D'Etat, Wagner Group, Prigozhin, Yevgeny V, Putin, Vladimir V, Russia"
Wagner Chief Prigozhin Appears in Videos at A Russian Military Headquarters,The head of the mercenary group claimed to have control of parts of the complex in the southern city of Rostov-on-Don.,"Russian Invasion of Ukraine (2022), Russia, Ukraine, Wagner Group, Prigozhin, Yevgeny V"
Debris From Russian Missile Kills Two in Kyiv Apartment Building,"The capital came under attack as anxiety grew in Russia over a confrontation between Yevgeny V. Prigozhin, the founder of the Wagner mercenary group, and President Vladimir V. Putin of Russia.","Ukraine, Russia, Russian Invasion of Ukraine (2022)"
"Who Is Prigozhin, the Wagner Leader Russia Accused of Mounting a Coup?","Mr. Prigozhin has risen from a businessman known as President Vladimir V. Putin’s “chef” to a symbol of wartime Russia, controlling a private army operating from Ukraine to Central African Republic.","Russia, Ukraine, Russian Invasion of Ukraine (2022), Prigozhin, Yevgeny V"
Google News Blocked in Russia as Feud With Prigozhin Intensifies,"At least five telecommunications companies have blocked the service, which aggregates news from various sources, according to an analysis from NetBlocks, an internet observatory.","Russia, Ukraine, Russian Invasion of Ukraine (2022), Prigozhin, Yevgeny V, Google Inc, Computers and the Internet, Censorship"
Titan Submersible and Greek Migrant Crisis: Tragedies Reveal Inequities in World Attention,"Many see harsh realities about class and ethnicity in the attention paid to the Titan submersible and the halfhearted attempts to aid a ship before it sank, killing hundreds of migrants. But there are other factors.","Drownings, Maritime Accidents and Safety, Immigration and Emigration, Refugees and Displaced Persons, Submarines and Submersibles, Empathy, High Net Worth Individuals, Dawood, Shahzada (1975-2023)"
The Dark Incentives That Led to a Refugee Tragedy,"To those who see refugees as a burden or threat, border security is a zero-sum game that can be “won” by keeping potential asylum seekers out or by forcing them into other countries.","internal-sub-only-nl, Illegal Immigration, Asylum, Right of, Middle East and Africa Migrant Crisis, Smuggling, Mediterranean Sea"
A long-running feud has broken into open confrontation. Here’s the latest.,"The claims from Yevgeny V. Prigozhin including a veiled threat of an uprising against Russia, prompted the F.S.B. to open a criminal investigation.","Russian Invasion of Ukraine (2022), Politics and Government, Mercenaries and Private Military Contractors, Wagner Group, Prigozhin, Yevgeny V, Shoigu, Sergei K, Putin, Vladimir V, Defense and Military Forces, Coups D'Etat and Attempted Coups D'Etat, Russia"
Submersible Expert Raised Safety Concerns After 2019 Trip on Titan Sub,"After hearing a loud cracking sound during the dive, the expert, Karl Stanley, emailed OceanGate’s C.E.O., Stockton Rush, to urge him to hold off on future trips.","Maritime Accidents and Safety, Submarines and Submersibles, OceanGate Expeditions (Argus Expeditions Ltd), Titanic (Ship), Rush, Stockton (1962-2023), Stanley, Karl (Explorer)"
Modi’s Visits Abroad Help to Build His Image in India,"For an audience in India, the prime minister is linking his diplomatic reception abroad, and himself, to the country’s growing importance on the world stage.","Elections, Politics and Government, Economic Conditions and Trends, International Relations, United States International Relations, Drones (Pilotless Planes), Foreign Investments, Defense and Military Forces, Indian-Americans, Discrimination, General Electric Company, Group of Twenty, House of Representatives, Modi, Narendra, Biden, Joseph R Jr, Albanese, Anthony (1963- ), India, Washington (DC)"
"Pope Hosts Artists in Sistine Chapel, Even Some Who Attracted Controversy",The event was part of a broader effort to engage with artists as the Roman Catholic Church did in the past. Pope Francis also urged them to pursue social justice through their work.,"Art, Museums, Roman Catholic Church, Francis, Vatican Museums, Sistine Chapel (Vatican City), Vatican City, Serrano, Andres"
Democracy and Reality,"We are covering Narendra Modi’s visit to the U.S., the implosion of the missing submersible and the N.B.A. draft.","internal-storyline-no, Politics and Government, United States International Relations, Democracy (Theory and Philosophy), International Relations, Modi, Narendra, Biden, Joseph R Jr, India, United States"
"88 Temples, 750 Miles, Untold Gifts: Japan’s Shikoku Pilgrimage","A famed route on the smallest of Japan’s four main islands offers breathtaking views and an array of lessons on history, culture and generosity.","Pilgrimages, Travel and Vacations, Coastal Areas, Buddhism, Hikes and Hiking, Japanese Language, Monasteries and Monks, Memorabilia and Souvenirs, Rural Areas, Islands, Japan"
"As Lord Mayor, a 22-Year-Old Vaulted From Public Housing Into London’s Elite","Hamza Taouzzale became the first Muslim and youngest ever Lord Mayor of Westminster, a ceremonial post that outranks many of the capital’s most powerful and privileged.","Taouzzale, Hamza, Content Type: Personal Profile, Local Government, Westminster (England), Muslims and Islam, Income Inequality, Royal Families, Great Britain, London (England)"
A War-Themed Restaurant in Ukraine Finds New Resonance,A restaurant that celebrates Ukraine’s struggles in earlier wars is finding a second life in this one.,"Russian Invasion of Ukraine (2022), Restaurants, Politics and Government, International Relations, Kyiv (Ukraine), Lviv (Ukraine), Ukraine"
Washington Spirit’s Michele Kang Wants to Take Women’s Soccer Clubs Global,"With the rapid rise of women’s soccer, Y. Michele Kang, the owner of the Washington Spirit, is in the vanguard of transforming ownership and management worldwide.","Soccer, Women and Girls, Mergers, Acquisitions and Divestitures, Minorities, Content Type: Personal Profile, Kang, Y Michele, Washington Spirit (Soccer Team), National Women's Soccer League (US), Olympique Lyonnais (Soccer Team)"
How NATO Blends Aircraft From 25 Nations,"The alliance’s “Air Defender” exercises, the largest in its history, have focused on communications, particularly on synchronizing multiple encryption systems.","Military Aircraft, Russian Invasion of Ukraine (2022), North Atlantic Treaty Organization, Germany, Europe"
"With a Hand From the U.S. Military, Aid Finally Reaches a Syrian Camp","“I saw people eating plants that are usually only used to feed animals,” said one resident of a camp for displaced Syrians that sits in the shadow of an American military base but has been cut off from aid for years.","United States Defense and Military Forces, United States International Relations, War and Armed Conflicts, Refugees and Displaced Persons, Foreign Aid, Military Bases and Installations, Humanitarian Aid, Defense Department, United Nations, Syria"
"On Aung San Suu Kyi’s Birthday, Flowers, Then Arrests","People across Myanmar wore flowers on Monday to show support for the jailed civilian leader. Since then, the ruling military has been rounding them up.","Myanmar, Aung San Suu Kyi, Political Prisoners, Demonstrations, Protests and Riots, Human Rights and Human Rights Violations, Politics and Government, Defense and Military Forces"
Canada’s Online News Act Targets Facebook and Google,A new Canadian law will require technology companies to license news content. Facebook’s owner said it would drop news from the platform.,"Law and Legislation, Facebook Inc, Google Inc, Instagram Inc, Meta Platforms Inc, Canada, Social Media, Regulation and Deregulation of Industry, News and News Media"
Your Friday Briefing,The discovery of wreckage from the Titan submersible.,
"Tipping Gets ‘More in Your Face,’ and Not Everyone Likes It","Tipping is not unheard-of in Australia, but an increasing number of apps and payment platforms are actively asking for an extra dollar, or five, on bills.","Australia, Tips and Tipping"
"Shahzada Dawood, Wealthy Executive, Died With Son, Suleman, on Submersible","Mr. Dawood, a British Pakistani businessman, was the vice chairman of Engro Corporation, a conglomerate owned by one of the richest families in Pakistan.","Dawood, Shahzada (1975-2023), Dawood, Suleman (d 2023), Deaths (Obituaries), Submarines and Submersibles, Maritime Accidents and Safety, OceanGate Expeditions (Argus Expeditions Ltd), Titanic (Ship), Engro Corp, Pakistan"
Mexico’s Supreme Court Rejects AMLO-Backed Election Changes,The ruling from the country’s top court came as President Andrés Manuel López Obrador ramps up his attacks on the judicial system.,"Mexico, Elections, Decisions and Verdicts, Lopez Obrador, Andres Manuel, National Electoral Institute (Mexico), Law and Legislation, Morena (Mexican Political Party), Politics and Government, Courts and the Judiciary"
Missiles Strike Russian-Held Bridge Far Behind Ukraine Front Line,The attack damaged a bridge in the Russian-occupied Crimean Peninsula that Moscow uses to resupply its forces in Ukraine.,"Russian Invasion of Ukraine (2022), Shoigu, Sergei K, Crimea (Ukraine), Ukraine, Russia"
"Hamish Harding, Explorer Who Knew No Bounds, Dies at 58 During Titanic Dive","An aviation tycoon who pushed the limits, he went to the depths of the ocean and the blackness of space before his fateful dive to the Titanic on Sunday.","Harding, Hamish (1964-2023), Deaths (Obituaries), Deaths (Fatalities), Exploration and Explorers, Maritime Accidents and Safety, Submarines and Submersibles, OceanGate Expeditions (Argus Expeditions Ltd), Titanic (Ship), Oceans and Seas, Records and Achievements, Space and Astronomy, Private Spaceflight, Pilots"
Turkey Raises Interest Rates as Erdogan Aims to Tame Inflation,"In his choices of top officials, and with a leap in interest rates, Mr. Erdogan aims to tame inflation and defuse a looming economic crisis.","Banking and Financial Institutions, Economic Conditions and Trends, Currency, Erdogan, Recep Tayyip, Turkey"
"Protecting Marine Life Also Helps People Nearby, Study Says",A study of marine-protected areas off the Central American coast found that people living close to these areas had better food security and greater household wealth.,"Global Warming, Greenhouse Gas Emissions, Mesoamerican Barrier Reef, Fish and Other Marine Life, Research, Biodiversity"
Israeli-Palestinian Violence Is Spiraling in the Occupied West Bank,The Palestinian Authority is absent from the hotbeds of militancy while Israeli forces have failed to prevent violent reprisal attacks by Jewish extremists.,"West Bank, War and Armed Conflicts, Palestinians, Defense and Military Forces, Israeli Settlements, Politics and Government, Palestinian Authority, Netanyahu, Benjamin, Israel"
The Politics of Class,"We’re covering the class inversion in American politics, severe weather in Texas and the Indian prime minister’s visit to the U.S.","internal-storyline-no, United States Politics and Government, Elections, Presidential Election of 2024, Presidential Election of 2020, Polls and Public Opinion"
Paris Fire and Explosion Leave 1 Missing and 6 Critically Hurt,"The origin of the explosion, which gutted a building in the Fifth Arrondissement and injured about 40 people, is still unclear.","Paris (France), France, Explosions (Accidental), Fires and Firefighters, Accidents and Safety"
Global Climate Economy Conference Begins in Paris,Hundreds of representatives from about 80 countries are gathering in Paris to talk about rebuilding a monetary system many say is ill-suited to a changing planet.,"Global Warming, Politics and Government, International Monetary Fund, World Bank, Macron, Emmanuel (1977- ), Banking and Financial Institutions, International Relations, Paris (France)"
Korean Youth Hostel Once a Site of Interrogation and Torture,A building where South Korean dissidents were interrogated and tortured by a powerful government agency is now home to a popular youth hostel.,"Seoul (South Korea), Hotels and Travel Lodgings, Historic Buildings and Sites, South Korea, Politics and Government, Torture, Espionage and Intelligence Services, Human Rights and Human Rights Violations, Japan, Korean War"
